Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
FIT 2,0.0632,Willowdale MS,TSPS (Portfolio 2) Limited Partnership,CO,20,03-Sep-16,02-Oct-15,01-Oct-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Niagara
FIT 2,0.0632,Hunter's Glen Jr PS,TSPS (Portfolio 1) Limited Partnership,CO,20,15-Aug-16,15-Dec-14,14-Dec-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.0632,Roden Jr PS,TSPS (Portfolio 1) Limited Partnership,CO,20,27-Aug-16,03-Oct-14,02-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA North
FIT 1,0.06306,Folkens # 6,2 4 6 0 8 8 2 O N T A R I O L I M I T E D,CO,20,09-Jun-14,08-Dec-14,08-Jun-34,Renewables,Solar Rooftop,Solar,Dx,Hamilton,Hamilton,Southwest,Burlington to Nanticoke
FIT 1,0.063,CEPEO Elementary Gabrielle-Roy,Ameresco CEPEO Solar Inc.,CO,20,30-Apr-12,20-Aug-12,19-Aug-32,Renewables,Solar Rooftop,Solar,Dx,Ottawa,Ottawa,Ottawa,Toronto
FIT 4,0.063,Walkers Mews,Walkers Mews Limited,CO,20,15-Mar-18,26-May-17,25-May-37,Renewables,Solar Rooftop,Solar,Dx,Burlington,Halton,Southwest,Toronto
FIT 1,0.06279,GEDSB Cobblestone,Ameresco GEDSB Solar Inc.,CO,20,30-Apr-12,07-Nov-11,06-Nov-31,Renewables,Solar Rooftop,Solar,Dx,Paris,Brant,Southwest,Toronto
FIT 1,0.06279,GEDSB Centennial-Grand Woodlands,Ameresco GEDSB Solar Inc.,CO,20,30-Apr-12,10-Nov-11,09-Nov-31,Renewables,Solar Rooftop,Solar,Dx,Brantford,Brant,Southwest,GTA North
FIT 2,0.0624,Macklin PS,TSPS (Portfolio 2) Limited Partnership,CO,20,20-Aug-16,15-Aug-16,14-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 2,0.0624,Scarborough Village PS,TSPS (Portfolio 1) Limited Partnership,CO,20,27-Aug-16,15-Dec-14,14-Dec-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Niagara
FIT 2,0.06192,257 Coleman St - Belleville,"G. T. Lanning Limited and its wholly owned subsidiary, 1178244 Ontario Inc.",CO,20,12-Mar-15,21-Oct-14,20-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Belleville,Hastings,East,Toronto
FIT 2,0.061,Lamberton PS,TSPS (Portfolio 2) Limited Partnership,CO,20,20-Aug-16,30-Sep-16,19-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
FIT 2,0.061,Pineway PS,TSPS (Portfolio 2) Limited Partnership,CO,20,22-Aug-16,15-Nov-16,21-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA North
FIT 2,0.061,Cherokee PS,TSPS (Portfolio 2) Limited Partnership,CO,20,01-Aug-16,30-Sep-16,31-Jul-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 4,0.061,Thomas L Wells Public School,Toronto District School Board,CO,20,09-Feb-18,09-Aug-18,08-Feb-38,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA West
FIT 4,0.061,Charles Gordon Senior Public School,Toronto District School Board,CO,20,02-Feb-18,10-Jul-18,01-Feb-38,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 1,0.06,Dupuis Solar PV,"Michael Dupuis, Gail Dupuis",CO,20,23-Jun-14,05-Oct-12,04-Oct-32,Renewables,Solar Rooftop,Solar,Dx,Walkerton,Bruce,Southwest,Toronto
FIT 1,0.06,Fortress,Fortress Technology Inc.,CO,20,02-Jun-14,21-Jan-13,20-Jan-33,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,London Area
FIT 1,0.06,Solar Connections-2329 Hwy 11 N,1711136 Ontario Ltd. o/a Solar Connections,CO,20,06-Jun-14,19-Oct-12,18-Oct-32,Renewables,Solar Rooftop,Solar,Dx,Shanty Bay,Simcoe,Essa,London Area
FIT 1,0.06,DTFarm,John F. C. Dove,CO,20,16-Jun-14,09-Sep-13,08-Sep-33,Renewables,Solar Ground Mounted,Solar,Dx,Dryden,Kenora,Northwest,Toronto
FIT 1,0.06,Muskoka Beach Rd Solar,2068620 Ontario Incorporated,CO,20,30-Apr-12,03-May-11,02-May-31,Renewables,Solar Rooftop,Solar,Dx,Gravenhurst,Muskoka,Essa,Toronto
FIT 1,0.06,Toronto Electric,Soreva Clean Energy Corporation,CO,20,30-Apr-12,03-May-11,02-May-31,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
FIT 1,0.06,Gord Watts Municipal Centre Solar Project,The Corporation of the City of Brockville,CO,20,07-Jun-14,16-Jan-13,15-Jan-33,Renewables,Solar Rooftop,Solar,Dx,Brockville,Leeds and Grenville,East,Toronto
FIT 1,0.06,PowerStream 2010-049,Alectra Utilities Corporation,CO,20,30-Apr-12,14-Sep-11,13-Sep-31,Renewables,Solar Rooftop,Solar,Dx,Barrie,Simcoe,Essa,Niagara
FIT 1,0.06,Oakville Town Hall Project,Oakville Hydro Energy Services Inc.,CO,20,07-Jul-14,09-Jul-12,08-Jul-32,Renewables,Solar Rooftop,Solar,Dx,Oakville,Halton,Toronto,Burlington to Nanticoke
FIT 1,0.06,103-211 Silver Star,PFM2 Properties Inc.,CO,20,30-Apr-12,16-May-11,15-May-31,Renewables,Solar Rooftop,Solar,Dx,Markham,York,Toronto,Toronto
FIT 1,0.06,MR1,Matthew Roelands,CO,20,14-Jun-14,22-Aug-12,21-Aug-32,Renewables,Solar Rooftop,Solar,Dx,Ailsa Craig,Middlesex,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 1,0.06,Pleasant Valley Solar,Eco-Energy Reserves Inc.,CO,20,30-Apr-12,07-Jun-11,06-Jun-31,Renewables,Solar Rooftop,Solar,Dx,South Mountain,"Stormont, Dundas and Glengarry",East,Greater Bruce/Huron
FIT 1,0.06,CEPEO Elementary Charlotte Lemieux,Ameresco CEPEO Solar Inc.,CO,20,30-Apr-12,26-Oct-12,29-Apr-32,Renewables,Solar Rooftop,Solar,Dx,Ottawa,Ottawa,Ottawa,Greater Bruce/Huron
FIT 1,0.06,Rolling Acres Solar,Jacob Martin,CO,20,06-Jun-14,06-Jul-12,05-Jul-32,Renewables,Solar Rooftop,Solar,Dx,Waterloo,Waterloo,Southwest,Toronto
FIT 1,0.06,31 Mcaffee,BCE (Essex) Inc.,CO,20,04-May-14,14-May-14,03-May-34,Renewables,Solar Rooftop,Solar,Dx,Harrow,Essex,West,Greater Ottawa
FIT 1,0.06,"Saptashva Solar, S.A - FIT - Gulu 40","Saptashva Solar, S.A.",CO,20,07-Jun-14,20-Jan-15,19-Jan-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
FIT 1,0.06,394Orenda,2222270 Ontario inc.,CO,20,14-Jul-14,04-Nov-13,03-Nov-33,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,Toronto
FIT 1,0.06,Samuel David Gray,Laura Ann Gray,CO,20,21-Jun-14,08-Jan-13,07-Jan-33,Renewables,Solar Rooftop,Solar,Dx,Caledon,Peel,Southwest,Toronto
FIT 1,0.06,Neeb Haven Farms,Neeb Haven Farms Ltd.,CO,20,30-Apr-12,07-May-12,29-Apr-32,Renewables,Solar Rooftop,Solar,Dx,New Hamburg,Waterloo,Southwest,Toronto
FIT 1,0.06,3553 Montpellier Chelmsford Solar Array,Greater Sudbury Housing Corporation,CO,20,30-Jun-14,24-Sep-13,23-Sep-33,Renewables,Solar Rooftop,Solar,Dx,Chelmsford,Greater Sudbury,Northeast,Toronto
FIT 1,0.06,48 Nery Avenue,2421907 Ontario Limited,CO,20,30-Jun-14,25-Sep-14,29-Jun-34,Renewables,Solar Rooftop,Solar,Dx,Picton,Prince Edward,East,GTA North
FIT 2,0.06,Kenton PS,TSPS (Portfolio 2) Limited Partnership,CO,20,20-Aug-16,28-Oct-16,19-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 2,0.06,Douglas Park,TSPS (Portfolio 1) Limited Partnership,CO,20,06-Aug-16,25-Jun-15,24-Jun-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,London Area
FIT 2,0.06,Lester B Pearson PS (former Snowcrest PS),TSPS (Portfolio 2) Limited Partnership,CO,20,20-Aug-16,29-Nov-16,19-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,South Georgian Bay/Muskoka
FIT 2,0.06,TVM Westpoint,TVM Westpoint Inc.,CO,20,10-Apr-15,08-Apr-15,07-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Peterborough,Peterborough,East,Greater Bruce/Huron
FIT 2,0.06,YCDSB - St. James,Potentia Solar 7 Limited Partnership,CO,20,05-Mar-15,17-Mar-15,04-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Vaughan,York,Toronto,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.06,Monoway Farms Solar,Monoway Farms Limited,CO,20,01-Apr-15,10-Apr-15,31-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Brussels,Huron,Southwest,London Area
FIT 2,0.06,26KevinMcGuckin10,J. Dowswell Farms Ltd.,CO,20,08-Apr-15,29-Jul-14,28-Jul-34,Renewables,Solar Rooftop,Solar,Dx,Woodville,Kawartha Lakes,Essa,Burlington to Nanticoke
FIT 2,0.06,Tower,913960 Ontario Limited,CO,20,16-Apr-15,16-Oct-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Erin,Wellington,Southwest,St. Lawrence
FIT 2,0.06,77 - Sparta Farm,SIF-AMBER PROJECTS LP,CO,20,21-Feb-15,18-Aug-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,St. Thomas,Elgin,West,GTA North
FIT 2,0.06,North Bridlewood Jr PS,TSPS (Portfolio 2) Limited Partnership,CO,20,22-Aug-16,28-Nov-16,21-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,South Georgian Bay/Muskoka
