Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
FIT 2,0.5,SOMEREN SOLAR (River Road),PRI Solar Gardens LP,CO,20,11-Dec-16,30-Mar-16,29-Mar-36,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Toronto
FIT 2,0.5,36 Rivet,Rural Energy Limited Partnership,CO,20,06-Feb-17,13-Apr-16,12-Apr-36,Renewables,Solar Ground Mounted,Solar,Dx,Sturgeon Falls,Nipissing,Northeast,Greater Ottawa
FIT 2,0.5,TNT-400 Nugget,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,19-Mar-15,11-Sep-15,18-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Northwest Ontario
FIT 2,0.5,104-55 Brown,55 Browns Line Limited Partnership,CO,20,26-Mar-15,05-Aug-15,25-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
FIT 2,0.5,21 Guenette,Rural Energy Limited Partnership,CO,20,13-Mar-17,13-Apr-16,12-Apr-36,Renewables,Solar Ground Mounted,Solar,Dx,Sturgeon Falls,Nipissing,Northeast,Peterborough to Kingston
FIT 2,0.5,5 Demarce,Rural Energy Limited Partnership,CO,20,22-Jan-17,26-Feb-16,25-Feb-36,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,Toronto
FIT 2,0.5,Strathroy-Caradoc Ground WPCP 500,Solar Income Fund LP (#5),CO,20,25-Nov-16,23-Oct-15,22-Oct-35,Renewables,Solar Ground Mounted,Solar,Dx,Strathroy,Middlesex,West,Chatham/Lambton/Sarnia
FIT 2,0.5,Haja Solar Farm,N&G LP,CO,20,22-Aug-16,10-Mar-16,09-Mar-36,Renewables,Solar Ground Mounted,Solar,Dx,Acton,Halton,Southwest,Northwest Ontario
FIT 2,0.5,2290 Scanlan Street,N&G LP,CO,20,21-Feb-15,10-Jun-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,Windsor-Essex
FIT 2,0.5,Southwest Middlesex Ground WPCP 500kW,Solar Income Fund LP (#5),CO,20,25-Nov-16,23-Oct-15,22-Oct-35,Renewables,Solar Ground Mounted,Solar,Dx,Glencoe,Middlesex,West,Toronto
FIT 2,0.5,8 Gauvreau,Rural Energy Limited Partnership,CO,20,22-Jan-17,07-Aug-15,06-Aug-35,Renewables,Solar Ground Mounted,Solar,Dx,Hilliard,Timiskaming District,Northeast,North/East of Sudbury
FIT 2,0.5,Cripton Solar Farm,N&G LP,CO,20,22-Aug-16,08-Jan-16,07-Jan-36,Renewables,Solar Ground Mounted,Solar,Dx,Rockwood,Wellington,Southwest,London Area
FIT 2,0.5,70 Foster,Rural Energy Limited Partnership,CO,20,13-Mar-17,16-Oct-15,15-Oct-35,Renewables,Solar Ground Mounted,Solar,Dx,Inverary,Frontenac,East,GTA West
FIT 2,0.5,HAG - Station B1,Maxim Solar Power Corporation,CO,20,15-Oct-16,27-Jul-16,26-Jul-36,Renewables,Solar Ground Mounted,Solar,Dx,Hagersville,Haldimand,Southwest,South Georgian Bay/Muskoka
FIT 2,0.5,Goshen Line,Eilers Farms (Ontario) Incorporated,CO,20,20-Aug-16,06-Jul-15,05-Jul-35,Renewables,Bioenergy,Biogas,Dx,Zurich,Huron,Southwest,St. Lawrence
FIT 2,0.5,J03-575 Industrial,8180792 Canada Inc.,CO,20,26-Mar-15,28-Aug-15,25-Mar-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,GTA East
FIT 2,0.5,HAG - Station A,Maxim Solar Power Corporation,CO,20,15-Oct-16,28-Jun-16,27-Jun-36,Renewables,Solar Ground Mounted,Solar,Dx,Hagersville,Haldimand,Southwest,Toronto
FIT 2,0.5,AGRIS Solar (Sophiasburgh - West #2),AGRIS Solar Co-operative Inc.,CO,20,19-Dec-16,18-Jan-17,18-Dec-36,Renewables,Solar Ground Mounted,Solar,Dx,Picton,Prince Edward,East,South Georgian Bay/Muskoka
FIT 2,0.5,7 Gorecki,Rural Energy Limited Partnership,CO,20,22-Jan-17,26-Feb-16,25-Feb-36,Renewables,Solar Ground Mounted,Solar,Dx,Evanturel,Timiskaming District,Northeast,Toronto
FIT 2,0.5,Westmoreland 500kW Rooftop,2086091 Ontario Limited,CO,20,12-Mar-15,02-Oct-15,11-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Leamington,Essex,West,Sudbury/Algoma
FIT 2,0.5,Keele Street (9010),9010 Keele Park Properties Ltd.,CO,20,10-Apr-15,05-Aug-15,09-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Concord,York,Toronto,Windsor-Essex
FIT 2,0.5,Endura Energy - 30 Midair,Community Solar Assets 2 Limited,CO,20,21-Feb-15,20-Apr-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,GTA North
FIT 2,0.5,Essa District Agricultural Society,SCCEC LP,CO,20,03-Apr-15,23-Apr-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Thornton,Simcoe,Essa,St. Lawrence
FIT 2,0.5,96 Disco,Disco Road Nominee Ltd.,CO,20,18-Apr-15,21-Oct-14,20-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA West
FIT 2,0.5,651 Harwood Ave N,2344215 Ontario Inc.,CO,20,18-Apr-15,16-Oct-15,17-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Ajax,Durham,Toronto,Toronto
FIT 2,0.5,153 Van Kirk,"Trec SolarShare Co-operative (No. 1) Inc. and 1477400 Ontario Limited, as joint venturers, c.o.b...",CO,20,21-Feb-15,13-Apr-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,GTA North
FIT 2,0.5,550 Braidwood Warehouse,Braidwood Warehouse Solar LP,CO,20,18-Apr-15,20-Oct-14,19-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Peterborough,Peterborough,East,Greater Ottawa
FIT 2,0.5,HAG - Station E1,Maxim Solar Power Corporation,CO,20,15-Oct-16,28-Jun-16,27-Jun-36,Renewables,Solar Ground Mounted,Solar,Dx,Hagersville,Haldimand,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.5,Conestoga Solar I,CEW Erie VII Limited Partnership,CO,20,23-Apr-15,03-May-18,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Cambridge,Waterloo,Southwest,Burlington to Nanticoke
FIT 2,0.5,Endura Energy - 70 Van Kirk,Community Solar Assets 2 Limited,CO,20,21-Feb-15,27-Mar-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,Peterborough to Kingston
FIT 2,0.5,810 Technology Drive,2436043 Ontario Inc.,CO,20,08-Apr-15,22-Sep-15,07-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Peterborough,Peterborough,East,Burlington to Nanticoke
FIT 2,0.5,43 Howard Avenue,2357667 Ontario Inc.,CO,20,12-Mar-15,11-Aug-14,10-Aug-34,Renewables,Solar Rooftop,Solar,Dx,Elmira,Waterloo,Southwest,Peterborough to Kingston
FIT 2,0.5,6 Strubhar,Rural Energy Limited Partnership,CO,20,22-Jan-17,25-Sep-15,24-Sep-35,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Toronto
FIT 2,0.5,Scheel-001,Community Solar Assets 5 Limited,CO,20,27-Aug-16,19-Dec-16,26-Aug-36,Renewables,Solar Ground Mounted,Solar,Dx,Braeside,Renfrew,East,GTA East
FIT 2,0.5,Endura Energy - 40 Holtby,Community Solar Assets 2 Limited,CO,20,21-Feb-15,02-Oct-14,01-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,GTA East
FIT 2,0.5,Oneida Business Park,Corporation of the County of Brant and Six Nations of the Grand River Joint Venture,CO,20,08-Apr-15,11-Sep-15,07-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Port Rowan,Norfolk,Southwest,Toronto
FIT 2,0.5,111 Van Kirk,"Trec SolarShare Co-operative (No. 1) Inc. and 1477400 Ontario Limited, as joint venturers, c.o.b...",CO,20,21-Feb-15,28-May-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,East Lake Superior
FIT 2,0.5,GM Building,Hensall District Cooperative Inc.,CO,20,10-Apr-15,26-Feb-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Hensall,Huron,Southwest,Burlington to Nanticoke
FIT 2,0.5,New Oakville Hospital - Parking Garage Solar,Halton Healthcare Services Corporation,CO,20,09-May-15,30-Oct-15,08-May-35,Renewables,Solar Rooftop,Solar,Dx,Oakville,Halton,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.5,AGRIS Solar (Hillier),AGRIS Solar Co-operative Inc.,CO,20,11-Dec-16,14-Aug-15,13-Aug-35,Renewables,Solar Ground Mounted,Solar,Dx,Consecon,Prince Edward,East,Peterborough to Kingston
FIT 2,0.5,Rotary Place,Orillia Power Generation Corporation,CO,20,19-Feb-15,13-Feb-15,12-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Orillia,Simcoe,Essa,Windsor-Essex
FIT 2,0.5,23 Giroux,Rural Energy Limited Partnership,CO,20,22-Jan-17,26-Apr-16,25-Apr-36,Renewables,Solar Ground Mounted,Solar,Dx,River Valley,Nipissing,Northeast,GTA West
FIT 2,0.5,AGRIS Solar (LT 5 CON 4 HARLEY),AGRIS Solar Co-operative Inc.,CO,20,11-Dec-16,28-Apr-15,27-Apr-35,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Windsor-Essex
FIT 2,0.5,A_1212_Selby_B,2343461 Ontario Inc.,CO,20,03-Apr-15,02-Jul-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,Toronto
FIT 2,0.5,SunEdison ON-12-0310,PRI Industrial Solar Limited Partnership,CO,20,03-Apr-15,04-May-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA North
FIT 2,0.5,Pond Mills,N&G LP,CO,20,19-Feb-15,23-Jul-15,18-Feb-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,Greater Ottawa
FIT 2,0.5,Westview Centennial SS,TSPS (Portfolio 1) Limited Partnership,CO,20,29-Aug-16,19-Jun-15,18-Jun-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,South Georgian Bay/Muskoka
FIT 2,0.5,HAG - Station F8,Maxim Solar Power Corporation,CO,20,15-Oct-16,28-Jun-16,27-Jun-36,Renewables,Solar Ground Mounted,Solar,Dx,Hagersville,Haldimand,Southwest,London Area
FIT 2,0.5,BRA-107 Walker,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,12-Mar-15,02-Sep-15,11-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,Peterborough to Kingston
FIT 2,0.5,KER-28453 Kerwood,GSC RP5 LP,CO,20,07-Mar-15,12-Jun-15,06-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Kerwood,Middlesex,West,GTA West
FIT 2,0.5,AGRIS Solar (LT 3 CON 3 DYMOND),AGRIS Solar Co-operative Inc.,CO,20,25-Nov-16,04-Nov-15,03-Nov-35,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Toronto
FIT 2,0.5,AGRIS Solar Garden 1,AGRIS Solar Co-operative Inc.,CO,20,03-Oct-16,04-Nov-15,03-Nov-35,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Greater Ottawa
FIT 2,0.5,AGRIS Solar (LT 4 CON 4 HARLEY),AGRIS Solar Co-operative Inc.,CO,20,11-Dec-16,13-May-15,12-May-35,Renewables,Solar Ground Mounted,Solar,Dx,Thornloe,Timiskaming,Northeast,Burlington to Nanticoke
FIT 2,0.5,10b McNaughton,Rural Energy Limited Partnership,CO,20,22-Jan-17,15-Dec-15,14-Dec-35,Renewables,Solar Ground Mounted,Solar,Dx,New Liskeard,Timiskaming,Northeast,Peterborough to Kingston
FIT 2,0.5,AGRIS Solar (LT 8 CON 6 HARLEY),AGRIS Solar Co-operative Inc.,CO,20,25-Nov-16,11-Nov-15,10-Nov-35,Renewables,Solar Ground Mounted,Solar,Dx,Thornloe,Timiskaming,Northeast,North/East of Sudbury
FIT 2,0.5,STR-456 Albert,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,12-Mar-15,27-Nov-14,26-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Strathroy,Middlesex,West,GTA North
FIT 2,0.5,SOMEREN SOLAR (Hydro Line Road),PRI Solar Gardens LP,CO,20,11-Dec-16,07-Apr-16,06-Apr-36,Renewables,Solar Ground Mounted,Solar,Dx,Thornloe,Timiskaming,Northeast,GTA West
FIT 2,0.5,Endura Energy - 520 Abilene,Community Solar Assets 2 Limited,CO,20,26-Feb-15,13-Jul-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Mississauga,Peel,Toronto,Peterborough to Kingston
FIT 2,0.5,Mall Solar I,CEW SUPERIOR VI LIMITED PARTNERSHIP,CO,20,23-Apr-15,29-Sep-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Cobourg,Northumberland,East,Greater Ottawa
FIT 2,0.5,AGRIS Solar (LT 5 CON 2 HARLEY),AGRIS Solar Co-operative Inc.,CO,20,11-Dec-16,28-Apr-15,27-Apr-35,Renewables,Solar Ground Mounted,Solar,Dx,Thornloe,Timiskaming,Northeast,Greater Bruce/Huron
FIT 2,0.5,Toronto Zoo Biogas,ZooShare Biogas LP,CO,20,18-Jan-17,18-Jul-18,17-Jan-37,Renewables,Bioenergy,Biogas,Dx,Toronto,Toronto,Toronto,London Area
FIT 3,0.5,EEC Lakeshore MURF Solar PV Project,Essex Energy Corporation,CO,20,27-Aug-16,04-Dec-15,03-Dec-35,Renewables,Solar Rooftop,Solar,Dx,Belle River,Essex,West,Peterborough to Kingston
FIT 3,0.5,35 Sinclair Ave.,2387280 Ontario Inc.,CO,20,21-Oct-16,21-Apr-17,20-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Halton Hills,Halton,Toronto,Greater Ottawa
FIT 3,0.5,GE065B,SIF #2 Reliant Essex LP,CO,20,21-Oct-16,21-Apr-17,20-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,GTA North
FIT 3,0.5,QPA Grd 349 - Gravel Pit,QS4 2012 LP,CO,20,29-Aug-17,08-Nov-17,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Parkhill,Middlesex,Southwest,Windsor-Essex
FIT 3,0.5,NSPG Fixed 200 V2,NORTH SHORE POWER GROUP INC.,CO,20,16-Sep-17,06-Jun-17,05-Jun-37,Renewables,Solar Ground Mounted,Solar,Dx,Blind River,Algoma,Northeast,Greater Bruce/Huron
FIT 3,0.5,SPN 353,SPN LP 2,CO,20,28-Oct-16,28-Apr-17,27-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Tilbury,Chatham-Kent,West,Burlington to Nanticoke
FIT 3,0.5,SFF 17,2387282 Ontario Inc.,CO,20,16-Apr-18,28-Jun-18,15-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Madoc,Hastings,East,Niagara
FIT 3,0.5,EEDI KI2,Community Solar Assets 4 Limited,CO,20,29-Aug-17,08-Jun-17,07-Jun-37,Renewables,Solar Ground Mounted,Solar,Dx,Kingston,Frontenac,East,Peterborough to Kingston
FIT 3,0.5,SPN 333,SPN LP 2,CO,20,28-Oct-16,27-Apr-17,27-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Wallaceburg,Chatham-Kent,West,London Area
FIT 3,0.5,SunEdison ON-11-0707,GSC Southlake Solar LP,CO,20,02-Sep-17,15-Jun-18,01-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Hillsburgh,Wellington,Southwest,Greater Ottawa
FIT 3,0.5,London Optimist Sports Centre,ME11 2012 LP,CO,20,29-Feb-16,27-Jan-16,26-Jan-36,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,Chatham/Lambton/Sarnia
FIT 3,0.5,SPN 318,SPN LP 7,CO,20,16-Oct-16,11-Apr-17,15-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 3,0.5,Northam Building 5,Orillia Power Generation Corporation,CO,20,16-Mar-16,13-Sep-16,15-Mar-36,Renewables,Solar Rooftop,Solar,Dx,Cobourg,Northumberland,East,Windsor-Essex
FIT 3,0.5,SFF 23,2387282 Ontario Inc.,CO,20,14-Apr-18,27-Jun-18,13-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Enterprise,Lennox and Addington,East,Windsor-Essex
FIT 3,0.5,GreenLife Solar 2,GreenLife Solar Projects Inc.,CO,20,10-Apr-18,30-Jul-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Buckhorn,Peterborough,East,Burlington to Nanticoke
FIT 3,0.5,OT-475 GARYRAY,OFIT GM INC.,CO,20,14-Oct-16,28-Aug-17,13-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,London Area
FIT 3,0.5,Northam Building 4,Orillia Power Generation Corporation,CO,20,16-Mar-16,13-Sep-16,15-Mar-36,Renewables,Solar Rooftop,Solar,Dx,Cobourg,Northumberland,East,Toronto
FIT 3,0.5,GreenLife Solar 14,GreenLife Solar Projects Inc.,CO,20,10-Apr-18,21-Feb-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Port Hope,Northumberland,East,Peterborough to Kingston
FIT 3,0.5,CELESTE SOLAR LP 500KW,CELESTE SOLAR LP,CO,20,02-Sep-17,22-Feb-19,01-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Plantagenet,Prescott and Russell,Ottawa,Toronto
FIT 3,0.5,NSPG Fixed 100,NORTH SHORE POWER GROUP INC.,CO,20,14-Apr-18,20-Jul-18,13-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Blind River,Algoma,Northeast,London Area
FIT 3,0.5,88 Todd Road,2387280 Ontario Inc.,CO,20,21-Oct-16,21-Apr-17,20-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Halton Hills,Halton,Toronto,Greater Bruce/Huron
FIT 3,0.5,Pearl Lake,SE2 2013 LP,CO,20,29-Feb-16,02-Aug-16,28-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Elmwood,Bruce,Southwest,South Georgian Bay/Muskoka
FIT 3,0.5,OT-36 NIXON,OFIT RT INC.,CO,20,10-Oct-16,28-Aug-17,09-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Bolton,Peel,Toronto,Burlington to Nanticoke
FIT 3,0.5,NSPG Fixed 400,NORTH SHORE POWER GROUP INC.,CO,20,16-Sep-17,24-Oct-17,15-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Blind River,Algoma,Northeast,Burlington to Nanticoke
FIT 3,0.5,USS Gates South URSP,2291506 Ontario INC.,CO,20,27-Aug-16,22-Feb-17,26-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Port Dover,Norfolk,Southwest,South Georgian Bay/Muskoka
FIT 3,0.5,Muskpka Solar LP - Ullswater,Muskoka Solar LP,CO,20,28-Aug-17,28-Mar-17,27-Mar-37,Renewables,Solar Ground Mounted,Solar,Dx,Windermere,Muskoka,Essa,Chatham/Lambton/Sarnia
FIT 3,0.5,Donovan,Peterborough Solar Projects Corporation,CO,20,03-Sep-17,11-Feb-19,02-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Bancroft,Hastings,East,Greater Ottawa
FIT 3,0.5,GT CH9,Community Solar Assets 4 Limited,CO,20,28-Aug-17,22-Sep-17,27-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,South Georgian Bay/Muskoka
FIT 3,0.5,SPN 168,SPN LP 2,CO,20,23-Oct-16,21-Apr-17,22-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Chatham,Chatham-Kent,West,Burlington to Nanticoke
FIT 3,0.5,SunEdison ON-11-0386,GSC Southlake Solar LP,CO,20,21-Apr-18,21-Oct-19,20-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Havelock,Peterborough,East,Windsor-Essex
FIT 3,0.5,GreenLife Solar 19,GreenLife Solar Projects Inc.,CO,20,10-Apr-18,29-Aug-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Campbellcroft,Northumberland,East,GTA West
FIT 3,0.5,GreenLife Solar 18,GreenLife Solar Projects Inc.,CO,20,29-Aug-17,24-Jan-19,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Peterborough,Peterborough,East,Burlington to Nanticoke
FIT 3,0.5,SPN 372,OFIT GM INC.,CO,20,16-Oct-16,28-Sep-17,15-Oct-36,Renewables,Solar Rooftop,Solar,Dx,St. Thomas,Elgin,West,Kitchener-Waterloo-Guelph-Cambridge
FIT 3,0.5,Kirkland Lake #1,The Town of Kirkland Lake Solar Inc.,CO,20,18-Sep-17,18-Mar-19,17-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Kirkland Lake,Timiskaming,Northeast,Windsor-Essex
FIT 3,0.5,GT CH3,Community Solar Assets 4 Limited,CO,20,28-Aug-17,22-Dec-17,27-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,Windsor-Essex
FIT 3,0.5,GT CH7,Community Solar Assets 4 Limited,CO,20,27-Aug-17,31-Aug-17,26-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,GTA West
FIT 3,0.5,Rising Sun Solar Stephenson 8,Rising Sun Community Power Corp.,CO,20,23-Apr-18,18-Jan-19,22-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Utterson,Muskoka,Essa,Toronto
FIT 3,0.5,SFF 6,2387282 Ontario Inc.,CO,20,14-Apr-18,13-Jul-18,13-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Grafton,Northumberland,East,GTA East
FIT 3,0.5,McCann # 2 Salem P1,QS4 2012 LP,CO,20,29-Aug-17,08-Nov-17,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Parkhill,Middlesex,Southwest,Greater Ottawa
FIT 3,0.5,GT CH14,Community Solar Assets 4 Limited,CO,20,27-Aug-17,31-Aug-17,26-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,London Area
FIT 3,0.5,Rosseau Solar LP - Rosseau,Rosseau Solar LP,CO,20,10-Apr-18,01-Apr-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Parry Sound,Parry Sound,Essa,Toronto
FIT 3,0.5,95 Struck Court 2,2356927 ONTARIO INC.,CO,20,27-Feb-16,03-Mar-16,26-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Cambridge,Waterloo,Southwest,GTA West
FIT 3,0.5,Budget Environmental 1,QS1 2012 LP,CO,20,29-Feb-16,08-Aug-16,28-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Leith,Grey,Southwest,Peterborough to Kingston
FIT 3,0.5,GT CH2,Community Solar Assets 4 Limited,CO,20,27-Aug-17,22-Jan-18,26-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,GTA West
FIT 3,0.5,SPN 323,SPN LP 7,CO,20,16-Oct-16,18-Apr-17,15-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Paris,Brant,Southwest,Peterborough to Kingston
FIT 3,0.5,SPN 450,SPN LP 4,CO,20,28-Oct-16,21-Apr-17,27-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Brantford,Brant,Southwest,GTA West
FIT 3,0.5,OT-180 NORELCO,2387276 Ontario Inc.,CO,20,14-Oct-16,13-Apr-17,13-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 3,0.5,IP Rail Trail,Biidaaske Inc.,CO,20,29-Aug-17,16-Aug-18,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Owen Sound,Grey,Southwest,South Georgian Bay/Muskoka
FIT 3,0.5,Muskoka Solar LP - PC,Muskoka Solar LP,CO,20,28-Aug-17,25-Jul-17,24-Jul-37,Renewables,Solar Ground Mounted,Solar,Dx,Port Carling,Muskoka,Essa,South Georgian Bay/Muskoka
FIT 3,0.5,SunEdison ON-11-0187,GSC Southlake Solar LP,CO,20,02-Sep-17,25-May-18,01-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Indian River,Peterborough,East,Peterborough to Kingston
FIT 3,0.5,IP Compost Site,Biidaaske Inc.,CO,20,29-Aug-17,19-Jun-18,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Owen Sound,Grey,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 3,0.5,IP Public Works,Biidaaske Inc.,CO,20,29-Aug-17,07-Feb-19,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Owen Sound,Grey,Southwest,St. Lawrence
FIT 3,0.5,GreenLife Solar 7,GreenLife Solar Projects Inc.,CO,20,29-Aug-17,24-Jan-19,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Indian River,Peterborough,East,Burlington to Nanticoke
FIT 3,0.5,SFF 13,2387282 Ontario Inc.,CO,20,14-Apr-18,03-Aug-18,13-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Fenelon Falls,Kawartha Lakes,Essa,Kitchener-Waterloo-Guelph-Cambridge
FIT 3,0.5,2010-159-05,The Corporation of the City of Windsor,CO,20,03-Mar-16,17-Aug-16,02-Mar-36,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,GTA North
FIT 3,0.5,GreenLife Solar 24,GreenLife Solar Projects Inc.,CO,20,10-Apr-18,03-Sep-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Baltimore,Northumberland,East,South Georgian Bay/Muskoka
FIT 3,0.5,SPN 341,SPN LP 1,CO,20,28-Oct-16,26-Apr-17,27-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,GTA West
FIT 3,0.5,Kelly North,Peterborough Solar Projects Corporation,CO,20,10-Apr-18,26-Apr-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Bancroft,Hastings,East,GTA West
FIT 3,0.5,Kirkland Lake #3,The Town of Kirkland Lake Solar Inc.,CO,20,18-Sep-17,18-Mar-19,17-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Kirkland Lake,Timiskaming,Northeast,Toronto
FIT 3,0.5,Card,Peterborough Solar Projects Corporation,CO,20,10-Apr-18,26-Apr-19,09-Apr-38,Renewables,Solar Ground Mounted,Solar,Dx,Cardiff,Hastings,East,Toronto
FIT 3,0.5,Magna Centre,The Corporation of the Town of Newmarket,CO,20,16-Mar-16,23-Dec-15,22-Dec-35,Renewables,Solar Rooftop,Solar,Dx,Newmarket,York,Essa,Greater Ottawa
FIT 3,0.5,GT CH13,Community Solar Assets 4 Limited,CO,20,27-Aug-17,31-Aug-17,26-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Englehart,Timiskaming,Northeast,Toronto
