Calendar Year,Scenario,Fuel Type,Output, Value 
2030,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 18,979,023 "
2030,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 1,642,087 "
2030,Dispatchable Dominant,Other,Generation_MWh," 2,606,768 "
2030,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,120,115 "
2030,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2030,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2030,Dispatchable Dominant,Wind,Generation_MWh," 13,308,357 "
2031,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,515,561 "
2031,Dispatchable Dominant,Cogeneration,Generation_MWh," 44,337,048 "
2031,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 433,944 "
2031,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,907,208 "
2031,Dispatchable Dominant,Net Imports,Generation_MWh," 1,630,344 "
2031,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 18,776,288 "
2031,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 1,805,217 "
2031,Dispatchable Dominant,Other,Generation_MWh," 2,571,175 "
2031,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,078,096 "
2031,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2031,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2031,Dispatchable Dominant,Wind,Generation_MWh," 13,308,184 "
2032,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,228,655 "
2032,Dispatchable Dominant,Cogeneration,Generation_MWh," 44,874,702 "
2032,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 523,252 "
2032,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,914,011 "
2032,Dispatchable Dominant,Net Imports,Generation_MWh," 1,985,464 "
2032,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 18,417,965 "
2032,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 2,062,819 "
2032,Dispatchable Dominant,Other,Generation_MWh," 2,616,567 "
2032,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,112,365 "
2032,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2032,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2032,Dispatchable Dominant,Wind,Generation_MWh," 13,252,904 "
2033,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,035,519 "
2033,Dispatchable Dominant,Cogeneration,Generation_MWh," 44,820,876 "
2033,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 651,553 "
2033,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,910,957 "
2033,Dispatchable Dominant,Net Imports,Generation_MWh," 2,532,742 "
2033,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 18,045,686 "
2033,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 2,368,688 "
2033,Dispatchable Dominant,Other,Generation_MWh," 2,596,740 "
2033,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,090,477 "
2033,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2033,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2033,Dispatchable Dominant,Wind,Generation_MWh," 13,138,780 "
2034,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 4,470,695 "
2034,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,514,695 "
2034,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 792,025 "
2034,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,907,671 "
2034,Dispatchable Dominant,Net Imports,Generation_MWh," 3,029,260 "
2034,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 17,497,166 "
2034,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 2,788,287 "
2034,Dispatchable Dominant,Other,Generation_MWh," 2,617,495 "
2034,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 880,970 "
2034,Dispatchable Dominant,Solar,Generation_MWh," 3,086,937 "
2034,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2034,Dispatchable Dominant,Wind,Generation_MWh," 12,898,690 "
2035,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 4,654,069 "
2035,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,747,098 "
2035,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 921,247 "
2035,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,910,470 "
2035,Dispatchable Dominant,Net Imports,Generation_MWh," 4,038,687 "
2035,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 17,503,184 "
2035,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 3,707,859 "
2035,Dispatchable Dominant,Other,Generation_MWh," 2,619,404 "
2035,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 913,696 "
2035,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2035,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2035,Dispatchable Dominant,Wind,Generation_MWh," 12,678,528 "
2036,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,241,499 "
2036,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,810,463 "
2036,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 1,105,130 "
2036,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,917,095 "
2036,Dispatchable Dominant,Net Imports,Generation_MWh," 4,297,596 "
2036,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 17,606,974 "
2036,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 3,639,173 "
2036,Dispatchable Dominant,Other,Generation_MWh," 2,629,185 "
2036,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 921,038 "
2036,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2036,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2036,Dispatchable Dominant,Wind,Generation_MWh," 12,691,676 "
2037,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,722,904 "
2037,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,803,542 "
2037,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 4,059 "
2037,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,916,920 "
2037,Dispatchable Dominant,Net Imports,Generation_MWh," 4,535,779 "
2037,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 17,649,572 "
2037,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 4,365,556 "
2037,Dispatchable Dominant,Other,Generation_MWh," 2,609,070 "
2037,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 938,624 "
2037,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2037,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2037,Dispatchable Dominant,Wind,Generation_MWh," 12,621,461 "
2038,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,808,242 "
2038,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,704,363 "
2038,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh, -   
2038,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,917,824 "
2038,Dispatchable Dominant,Net Imports,Generation_MWh," 4,505,123 "
2038,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 20,707,334 "
2038,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 4,161,769 "
2038,Dispatchable Dominant,Other,Generation_MWh," 2,626,233 "
2038,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 939,006 "
2038,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2038,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2038,Dispatchable Dominant,Wind,Generation_MWh," 12,281,511 "
2039,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,002,297 "
2039,Dispatchable Dominant,Cogeneration,Generation_MWh," 45,586,183 "
2039,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh, -   
2039,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,916,864 "
2039,Dispatchable Dominant,Net Imports,Generation_MWh," 3,230,683 "
2039,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 25,621,456 "
2039,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 2,617,153 "
2039,Dispatchable Dominant,Other,Generation_MWh," 2,599,680 "
2039,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 918,985 "
2039,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2039,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2039,Dispatchable Dominant,Wind,Generation_MWh," 12,241,192 "
2040,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,549,414 "
2040,Dispatchable Dominant,Cogeneration,Generation_MWh," 46,163,074 "
2040,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh, -   
2040,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,920,627 "
2040,Dispatchable Dominant,Net Imports,Generation_MWh," 3,942,384 "
2040,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 26,357,378 "
2040,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 3,144,304 "
2040,Dispatchable Dominant,Other,Generation_MWh," 2,650,478 "
2040,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 929,206 "
2040,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2040,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2040,Dispatchable Dominant,Wind,Generation_MWh," 11,916,864 "
2041,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 2,508,102 "
2041,Dispatchable Dominant,Cogeneration,Generation_MWh," 46,190,673 "
